,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,squadName
36,2022-03-13,17:30,Bundesliga,Matchweek 26,Sun,Home,W,1.0,0.0,Arminia,2.0,0.6,58.0,33000.0,Axel Witsel,4-2-3-1,Bastian Dankert,Match Report,,Dortmund
37,2022-03-16,18:30,Bundesliga,Matchweek 25,Wed,Away,W,1.0,0.0,Mainz 05,0.8,0.6,60.0,25000.0,Axel Witsel,4-2-3-1,Sascha Stegemann,Match Report,,Dortmund
38,2022-03-20,19:30,Bundesliga,Matchweek 27,Sun,Away,D,1.0,1.0,Köln,1.1,1.2,46.0,50000.0,Axel Witsel,4-5-1,Daniel Siebert,Match Report,,Dortmund
39,2022-04-02,18:30,Bundesliga,Matchweek 28,Sat,Home,L,1.0,4.0,RB Leipzig,0.8,0.9,63.0,81365.0,Marco Reus,3-4-3,Marco Fritz,Match Report,,Dortmund
40,2022-04-08,20:30,Bundesliga,Matchweek 29,Fri,Away,W,2.0,0.0,Stuttgart,1.8,1.2,59.0,58248.0,Marco Reus,4-2-3-1,Harm Osmers,Match Report,,Dortmund
41,2022-04-16,15:30,Bundesliga,Matchweek 30,Sat,Home,W,6.0,1.0,Wolfsburg,2.9,1.4,60.0,79200.0,Marco Reus,3-4-3,Robert Schröder,Match Report,,Dortmund
42,2022-04-23,18:30,Bundesliga,Matchweek 31,Sat,Away,L,1.0,3.0,Bayern Munich,,,42.0,75000.0,Marco Reus,4-2-3-1,Daniel Siebert,Match Report,,Dortmund
43,2022-04-30,15:30,Bundesliga,Matchweek 32,Sat,Home,,,,Bochum,,,,,,,,Head-to-Head,,Dortmund
44,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,,,,Greuther Fürth,,,,,,,,Head-to-Head,,Dortmund
45,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,,,,Hertha BSC,,,,,,,,Head-to-Head,,Dortmund
1,2021-08-14,15:30,Bundesliga,Matchweek 1,Sat,Away,D,1.0,1.0,Union Berlin,0.7,0.5,67.0,11000.0,Lukáš Hrádecký,4-2-3-1,Tobias Reichel,Match Report,,Leverkusen
2,2021-08-21,18:30,Bundesliga,Matchweek 2,Sat,Home,W,4.0,0.0,M'Gladbach,2.0,1.7,46.0,15105.0,Lukáš Hrádecký,4-2-3-1,Deniz Aytekin,Match Report,,Leverkusen
3,2021-08-28,15:30,Bundesliga,Matchweek 3,Sat,Away,W,4.0,1.0,Augsburg,2.1,1.5,58.0,10582.0,Lukáš Hrádecký,4-2-3-1,Benjamin Brand,Match Report,,Leverkusen
4,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Home,L,3.0,4.0,Dortmund,0.9,2.1,42.0,17605.0,Lukáš Hrádecký,4-2-3-1,Daniel Siebert,Match Report,,Leverkusen
6,2021-09-19,15:30,Bundesliga,Matchweek 5,Sun,Away,W,3.0,1.0,Stuttgart,1.5,1.1,36.0,23450.0,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,Leverkusen
7,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Mainz 05,1.6,1.0,66.0,16624.0,Lukáš Hrádecký,4-2-3-1,Bastian Dankert,Match Report,,Leverkusen
9,2021-10-03,19:30,Bundesliga,Matchweek 7,Sun,Away,W,4.0,0.0,Arminia,3.0,0.4,67.0,16250.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,Leverkusen
10,2021-10-17,15:30,Bundesliga,Matchweek 8,Sun,Home,L,1.0,5.0,Bayern Munich,0.8,3.1,41.0,29542.0,Lukáš Hrádecký,4-2-3-1,Sven Jablonski,Match Report,,Leverkusen
12,2021-10-24,15:30,Bundesliga,Matchweek 9,Sun,Away,D,2.0,2.0,Köln,1.4,1.9,39.0,49600.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,Leverkusen
14,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Home,L,0.0,2.0,Wolfsburg,1.4,1.7,64.0,20132.0,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Match Report,,Leverkusen
16,2021-11-07,15:30,Bundesliga,Matchweek 11,Sun,Away,D,1.0,1.0,Hertha BSC,1.0,0.9,53.0,22187.0,Lukáš Hrádecký,4-2-3-1,Robert Hartmann,Match Report,,Leverkusen
17,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Home,W,1.0,0.0,Bochum,1.7,0.8,56.0,22538.0,Lukáš Hrádecký,4-4-2,Daniel Schlager,Match Report,,Leverkusen
19,2021-11-28,17:30,Bundesliga,Matchweek 13,Sun,Away,W,3.0,1.0,RB Leipzig,1.8,1.6,42.0,,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,Leverkusen
20,2021-12-04,15:30,Bundesliga,Matchweek 14,Sat,Home,W,7.0,1.0,Greuther Fürth,2.8,0.4,60.0,10455.0,Lukáš Hrádecký,4-2-3-1,Tobias Reichel,Match Report,,Leverkusen
22,2021-12-12,17:30,Bundesliga,Matchweek 15,Sun,Away,L,2.0,5.0,Eint Frankfurt,1.7,1.6,56.0,12000.0,Lukáš Hrádecký,4-2-3-1,Marco Fritz,Match Report,,Leverkusen
23,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Home,D,2.0,2.0,Hoffenheim,2.0,1.9,46.0,13272.0,Lukáš Hrádecký,4-2-3-1,Tobias Stieler,Match Report,,Leverkusen
24,2021-12-19,15:30,Bundesliga,Matchweek 17,Sun,Away,L,1.0,2.0,Freiburg,1.0,2.0,56.0,750.0,Lukáš Hrádecký,4-3-2-1,Benjamin Cortus,Match Report,,Leverkusen
25,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,D,2.0,2.0,Union Berlin,1.8,2.4,64.0,,Lukáš Hrádecký,4-2-3-1,Matthias Jöllenbeck,Match Report,,Leverkusen
26,2022-01-15,18:30,Bundesliga,Matchweek 19,Sat,Away,W,2.0,1.0,M'Gladbach,4.4,1.5,45.0,750.0,Lukáš Hrádecký,4-2-3-1,Sascha Stegemann,Match Report,,Leverkusen
27,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Home,W,5.0,1.0,Augsburg,3.2,1.4,66.0,750.0,Lukáš Hrádecký,4-1-4-1,Daniel Schlager,Match Report,,Leverkusen
28,2022-02-06,15:30,Bundesliga,Matchweek 21,Sun,Away,W,5.0,2.0,Dortmund,2.1,1.3,36.0,10000.0,Jonathan Tah,4-2-3-1,Daniel Siebert,Match Report,,Leverkusen
29,2022-02-12,18:30,Bundesliga,Matchweek 22,Sat,Home,W,4.0,2.0,Stuttgart,2.5,1.2,68.0,10000.0,Lukáš Hrádecký,4-2-3-1,Felix Brych,Match Report,,Leverkusen
30,2022-02-18,20:30,Bundesliga,Matchweek 23,Fri,Away,L,2.0,3.0,Mainz 05,1.2,1.0,59.0,10000.0,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,Leverkusen
31,2022-02-26,15:30,Bundesliga,Matchweek 24,Sat,Home,W,3.0,0.0,Arminia,2.6,0.4,71.0,10000.0,Lukáš Hrádecký,4-2-3-1,Martin Petersen,Match Report,,Leverkusen
32,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Away,D,1.0,1.0,Bayern Munich,1.8,1.4,32.0,25000.0,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,Leverkusen
34,2022-03-13,15:30,Bundesliga,Matchweek 26,Sun,Home,L,0.0,1.0,Köln,1.7,0.5,55.0,22658.0,Lukáš Hrádecký,4-2-3-1,Sascha Stegemann,Match Report,,Leverkusen
36,2022-03-20,17:30,Bundesliga,Matchweek 27,Sun,Away,W,2.0,0.0,Wolfsburg,1.2,1.5,50.0,16554.0,Lukáš Hrádecký,3-4-1-2,Felix Brych,Match Report,,Leverkusen
37,2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,W,2.0,1.0,Hertha BSC,2.1,0.8,68.0,23557.0,Lukáš Hrádecký,4-2-3-1,Matthias Jöllenbeck,Match Report,,Leverkusen
38,2022-04-10,15:30,Bundesliga,Matchweek 29,Sun,Away,D,0.0,0.0,Bochum,1.2,1.0,59.0,25000.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,Leverkusen
39,2022-04-17,19:30,Bundesliga,Matchweek 30,Sun,Home,L,0.0,1.0,RB Leipzig,0.9,0.6,47.0,26119.0,Lukáš Hrádecký,3-4-1-2,Daniel Siebert,Match Report,,Leverkusen
40,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,W,4.0,1.0,Greuther Fürth,,,48.0,11579.0,Lukáš Hrádecký,4-2-2-2,Tobias Reichel,Match Report,,Leverkusen
41,2022-05-02,20:30,Bundesliga,Matchweek 32,Mon,Home,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,Leverkusen
42,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,Leverkusen
43,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,,Leverkusen
1,2021-08-15,15:30,Bundesliga,Matchweek 1,Sun,Away,L,0.0,1.0,Mainz 05,1.1,1.1,70.0,10500.0,Willi Orban,4-2-3-1,Daniel Siebert,Match Report,,RB Leipzig
2,2021-08-20,20:30,Bundesliga,Matchweek 2,Fri,Home,W,4.0,0.0,Stuttgart,3.5,1.1,52.0,23100.0,Emil Forsberg,4-2-3-1,Florian Badstübner,Match Report,,RB Leipzig
3,2021-08-29,17:30,Bundesliga,Matchweek 3,Sun,Away,L,0.0,1.0,Wolfsburg,1.4,1.1,52.0,12058.0,Péter Gulácsi,4-2-3-1,Tobias Stieler,Match Report,,RB Leipzig
4,2021-09-11,18:30,Bundesliga,Matchweek 4,Sat,Home,L,1.0,4.0,Bayern Munich,0.5,4.2,52.0,34000.0,Péter Gulácsi,4-2-3-1,Deniz Aytekin,Match Report,,RB Leipzig
6,2021-09-18,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1.0,1.0,Köln,1.9,1.6,53.0,25000.0,Péter Gulácsi,4-2-3-1,Felix Brych,Match Report,,RB Leipzig
7,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,6.0,0.0,Hertha BSC,3.9,0.3,61.0,23500.0,Péter Gulácsi,3-4-3,Sascha Stegemann,Match Report,,RB Leipzig
9,2021-10-02,18:30,Bundesliga,Matchweek 7,Sat,Home,W,3.0,0.0,Bochum,2.5,1.3,59.0,25598.0,Péter Gulácsi,3-4-3,Robert Hartmann,Match Report,,RB Leipzig
10,2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Away,D,1.0,1.0,Freiburg,1.7,1.4,49.0,20000.0,Péter Gulácsi,4-3-3,Daniel Siebert,Match Report,,RB Leipzig
12,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Home,W,4.0,1.0,Greuther Fürth,2.5,1.5,56.0,24758.0,Péter Gulácsi,3-4-3,Christian Dingert,Match Report,,RB Leipzig
14,2021-10-30,18:30,Bundesliga,Matchweek 10,Sat,Away,D,1.0,1.0,Eint Frankfurt,2.8,0.6,54.0,31000.0,Péter Gulácsi,3-4-3,Daniel Schlager,Match Report,,RB Leipzig
16,2021-11-06,18:30,Bundesliga,Matchweek 11,Sat,Home,W,2.0,1.0,Dortmund,2.4,1.2,54.0,43429.0,Péter Gulácsi,3-4-3,Felix Zwayer,Match Report,,RB Leipzig
17,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Away,L,0.0,2.0,Hoffenheim,0.2,2.7,57.0,13233.0,Péter Gulácsi,3-4-3,Tobias Welz,Match Report,,RB Leipzig
19,2021-11-28,17:30,Bundesliga,Matchweek 13,Sun,Home,L,1.0,3.0,Leverkusen,1.6,1.8,58.0,,Kevin Kampl,4-4-2◆,Benjamin Cortus,Match Report,,RB Leipzig
20,2021-12-03,20:30,Bundesliga,Matchweek 14,Fri,Away,L,1.0,2.0,Union Berlin,1.3,3.3,62.0,13506.0,Péter Gulácsi,3-4-3,Harm Osmers,Match Report,,RB Leipzig
22,2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Home,W,4.0,1.0,M'Gladbach,4.4,1.4,52.0,,Péter Gulácsi,3-4-1-2,Bastian Dankert,Match Report,,RB Leipzig
23,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Away,D,1.0,1.0,Augsburg,2.4,1.4,69.0,,Péter Gulácsi,3-4-1-2,Florian Badstübner,Match Report,,RB Leipzig
24,2021-12-18,15:30,Bundesliga,Matchweek 17,Sat,Home,L,0.0,2.0,Arminia,2.0,0.6,76.0,,Péter Gulácsi,3-5-2,Frank Willenborg,Match Report,,RB Leipzig
25,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,W,4.0,1.0,Mainz 05,3.3,0.4,68.0,,Péter Gulácsi,3-4-1-2,Deniz Aytekin,Match Report,,RB Leipzig
26,2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Away,W,2.0,0.0,Stuttgart,1.3,1.1,48.0,500.0,Péter Gulácsi,3-4-1-2,Daniel Schlager,Match Report,,RB Leipzig
28,2022-01-23,15:30,Bundesliga,Matchweek 20,Sun,Home,W,2.0,0.0,Wolfsburg,1.3,0.9,53.0,1000.0,Péter Gulácsi,3-4-3,Daniel Siebert,Match Report,,RB Leipzig
29,2022-02-05,18:30,Bundesliga,Matchweek 21,Sat,Away,L,2.0,3.0,Bayern Munich,2.1,2.9,42.0,10000.0,Péter Gulácsi,3-4-3,Sven Jablonski,Match Report,,RB Leipzig
30,2022-02-11,20:30,Bundesliga,Matchweek 22,Fri,Home,W,3.0,1.0,Köln,1.0,0.9,49.0,15000.0,Péter Gulácsi,3-4-1-2,Florian Badstübner,Match Report,,RB Leipzig
32,2022-02-20,19:30,Bundesliga,Matchweek 23,Sun,Away,W,6.0,1.0,Hertha BSC,3.1,0.7,64.0,10000.0,Péter Gulácsi,3-5-2,Patrick Ittrich,Match Report,,RB Leipzig
34,2022-02-27,15:30,Bundesliga,Matchweek 24,Sun,Away,W,1.0,0.0,Bochum,0.7,1.0,48.0,10000.0,Péter Gulácsi,3-4-1-2,Felix Brych,Match Report,,RB Leipzig
36,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,D,1.0,1.0,Freiburg,0.7,0.5,72.0,24758.0,Péter Gulácsi,3-4-1-2,Felix Zwayer,Match Report,,RB Leipzig
38,2022-03-13,19:30,Bundesliga,Matchweek 26,Sun,Away,W,6.0,1.0,Greuther Fürth,1.4,0.4,53.0,9418.0,Péter Gulácsi,3-4-1-2,Sven Jablonski,Match Report,,RB Leipzig
40,2022-03-20,15:30,Bundesliga,Matchweek 27,Sun,Home,D,0.0,0.0,Eint Frankfurt,1.2,0.1,53.0,43058.0,Péter Gulácsi,3-4-1-2,Christian Dingert,Match Report,,RB Leipzig
41,2022-04-02,18:30,Bundesliga,Matchweek 28,Sat,Away,W,4.0,1.0,Dortmund,0.9,0.8,37.0,81365.0,Péter Gulácsi,3-5-2,Marco Fritz,Match Report,,RB Leipzig
43,2022-04-10,19:30,Bundesliga,Matchweek 29,Sun,Home,W,3.0,0.0,Hoffenheim,1.5,0.2,51.0,35112.0,Péter Gulácsi,3-4-3,Bastian Dankert,Match Report,,RB Leipzig
